what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417002545572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417002573783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417002604564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417002623293
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1417002625527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417002724408
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1417002764957
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1417002769090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417002772528
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1417002778124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417002778154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417002784099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417002809023
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAutomatically",1417002816654
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1417002820753
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1417002822854
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1417002829904
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1417002830003
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1417002830003
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1417002838342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417002865417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417002927053
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1417002927158
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417002987096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417002988752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417002994556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417003031806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417003034034
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1417003034129
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1417003038534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417003043067
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417003065228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417003070276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417003079582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417003084170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417004056407
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1417004057326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417004062065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417004080425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417004112965
error,log,,,"Exception occurred executing command line.",1417004116798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417004117538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417004120867
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1417004125758
error,log,,,"Exception occurred executing command line.",1417004125989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417004126314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417004130481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417004131829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417004135549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417004136176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417004177437
error,log,,,"Exception occurred executing command line.",1417004182514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417004182728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417004184614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417004186376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417004231625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417004246458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417004260428
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417004335635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417004341181
